California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,44.5,2.0
201602,51.8,6.2
201603,52.5,3.5
201604,57.9,3.7
201605,62.2,1.0
201606,73.5,5.0
201607,76.8,1.9
201608,76.2,2.3
201609,69.5,0.7
201610,60.5,0.6
201611,52.8,3.1
201612,43.4,0.1
201701,42.2,-0.3
201702,47.3,1.7
201703,53.4,4.4
201704,55.6,1.4
201705,63.4,2.2
201706,72.8,4.3
201707,78.8,3.9
201708,77.9,4.0
201709,69.8,1.0
201710,62.0,2.1
201711,53.4,3.7
201712,47.5,4.2
201801,48.8,6.3
201802,46.5,0.9
201803,48.9,-0.1
201804,57.1,2.9
201805,63.0,1.8
201806,71.4,2.9
201807,79.6,4.7
201808,76.4,2.5
201809,71.1,2.3
201810,60.9,1.0
201811,52.6,2.9
201812,44.7,1.4
201901,46.0,3.5
